Title,Published_At,Publish_Day,Publish_Hour (UTC),Views,Likes,Comments,Engagement_Rate (%),Fetched_At,Engagement_Score
Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #494,2026-03-23 16:24:14,Monday,16,733998,18222,1786,2.73,2026-03-30 05:33:23,951938
"Jeff Kaplan: World of Warcraft, Overwatch, Blizzard, and Future of Gaming | Lex Fridman Podcast #493",2026-03-11 20:21:39,Wednesday,20,759568,24419,3710,3.7,2026-03-30 05:33:23,1077958
Lex trains w/ Khabib Nurmagomedov | Exclusive Footage at UFC PI,2026-03-03 12:30:21,Tuesday,12,45416,1094,45,2.51,2026-03-30 05:33:23,57256
"Rick Beato: Greatest Guitarists of All Time, History & Future of Music | Lex Fridman Podcast #492",2026-03-01 03:37:44,Sunday,3,402303,12426,1804,3.54,2026-03-30 05:33:23,562643
Khabib vs Lex: Training with Khabib | FULL EXCLUSIVE FOOTAGE,2026-02-25 22:36:32,Wednesday,22,658618,18969,2306,3.23,2026-03-30 05:33:23,894428
OpenClaw: The Viral AI Agent that Broke the Internet - Peter Steinberger | Lex Fridman Podcast #491,2026-02-12 03:07:03,Thursday,3,1096397,20915,2287,2.12,2026-03-30 05:33:23,1351287
"State of AI in 2026: LLMs, Coding, Scaling Laws, China, Agents, GPUs, AGI | Lex Fridman Podcast #490",2026-01-31 22:33:33,Saturday,22,789268,12882,1076,1.77,2026-03-30 05:33:23,939608
Paul Rosolie: Uncontacted Tribes in the Amazon Jungle | Lex Fridman Podcast #489,2026-01-13 20:06:59,Tuesday,20,1150249,23310,3204,2.31,2026-03-30 05:33:23,1447429
"Infinity, Paradoxes, Gödel Incompleteness & the Mathematical Multiverse | Lex Fridman Podcast #488",2025-12-31 21:26:17,Wednesday,21,406546,6475,926,1.82,2026-03-30 05:33:23,489816
"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #487",2025-12-12 20:01:08,Friday,20,1383813,24974,2580,1.99,2026-03-30 05:33:23,1685153
Michael Levin: Hidden Reality of Alien Intelligence & Biological Life | Lex Fridman Podcast #486,2025-11-30 19:30:21,Sunday,19,766539,12775,1716,1.89,2026-03-30 05:33:23,928609
"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #485",2025-11-17 18:27:43,Monday,18,542747,8761,1079,1.81,2026-03-30 05:33:23,651937
"Dan Houser: GTA, Red Dead Redemption, Rockstar, Absurd & Future of Gaming | Lex Fridman Podcast #484",2025-10-31 20:43:57,Friday,20,1566314,38585,4089,2.72,2026-03-30 05:33:23,2033944
"Julia Shaw: Criminal Psychology of Murder, Serial Killers, Memory & Sex | Lex Fridman Podcast #483",2025-10-14 17:21:10,Tuesday,17,387415,6313,1648,2.05,2026-03-30 05:33:23,483505
"Pavel Durov: Telegram, Freedom, Censorship, Money, Power & Human Nature | Lex Fridman Podcast #482",2025-09-30 19:27:11,Tuesday,19,2776072,55053,7785,2.26,2026-03-30 05:33:23,3482302
"Norman Ohler: Hitler, Nazis, Drugs, WW2, Blitzkrieg, LSD, MKUltra & CIA | Lex Fridman Podcast #481",2025-09-19 18:17:48,Friday,18,909921,13976,1763,1.73,2026-03-30 05:33:23,1084941
"Dave Hone: T-Rex, Dinosaurs, Extinction, Evolution, and Jurassic Park | Lex Fridman Podcast #480",2025-09-04 19:56:59,Thursday,19,748237,10047,990,1.48,2026-03-30 05:33:23,868507
"Dave Plummer: Programming, Autism, and Old-School Microsoft Stories | Lex Fridman Podcast #479",2025-08-29 23:52:25,Friday,23,254201,7570,804,3.29,2026-03-30 05:33:23,345981
Scott Horton: The Case Against War and the Military Industrial Complex | Lex Fridman Podcast #478,2025-08-24 01:23:15,Sunday,1,724075,12867,3444,2.25,2026-03-30 05:33:23,921625
"Keyu Jin: China's Economy, Tariffs, Trade, Trump, Communism & Capitalism | Lex Fridman Podcast #477",2025-08-13 20:35:35,Wednesday,20,828064,17473,3846,2.57,2026-03-30 05:33:23,1079714
High salaries for AI engineers: The talent war in AI,2025-08-09 18:10:34,Saturday,18,79271,1935,101,2.57,2026-03-30 05:33:23,100641
Timeline for AGI: 2030 with 50% chance,2025-08-08 23:23:46,Friday,23,56940,1351,118,2.58,2026-03-30 05:33:23,72810
Jack Weatherford: Genghis Khan and the Mongol Empire | Lex Fridman Podcast #476,2025-07-31 21:10:47,Thursday,21,868439,15603,1765,2.0,2026-03-30 05:33:23,1059769
"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast #475",2025-07-23 18:39:15,Wednesday,18,1375770,19145,1820,1.52,2026-03-30 05:33:23,1603620
DHH rant against Apple,2025-07-20 14:47:21,Sunday,14,94958,3073,165,3.41,2026-03-30 05:33:23,128988
Advice for beginner programmers,2025-07-18 14:55:53,Friday,14,79622,3629,119,4.71,2026-03-30 05:33:23,118292
"DHH: Future of Programming, AI, Ruby on Rails, Productivity & Parenting | Lex Fridman Podcast #474",2025-07-12 17:15:26,Saturday,17,1096172,15926,1964,1.63,2026-03-30 05:33:23,1294712
Eisenhower's warning about the military industrial complex. I think about these words often.,2025-07-05 22:20:49,Saturday,22,152423,6681,325,4.6,2026-03-30 05:33:23,225733
"Iran War Debate: Nuclear Weapons, Trump, Peace, Power & the Middle East | Lex Fridman Podcast #473",2025-06-26 17:28:29,Thursday,17,637779,8886,5078,2.19,2026-03-30 05:33:23,828199
Terence Tao on Grigori Perelman declining the Fields Medal,2025-06-19 23:23:00,Thursday,23,420565,10200,164,2.46,2026-03-30 05:33:23,525845
"Terence Tao: Hardest Problems in Mathematics, Physics & the Future of AI | Lex Fridman Podcast #472",2025-06-14 20:15:34,Saturday,20,1783916,24520,1873,1.48,2026-03-30 05:33:23,2066576
Lex Fridman tests Google XR glasses,2025-06-13 00:37:30,Friday,0,141186,4496,190,3.32,2026-03-30 05:33:23,189946
"Google CEO on Elon Musk, Tesla, and Waymo",2025-06-10 20:51:39,Tuesday,20,101144,2442,107,2.52,2026-03-30 05:33:23,127704
Lex Fridman tests Google Beam,2025-06-06 23:04:59,Friday,23,417220,6880,256,1.71,2026-03-30 05:33:23,491140
Sundar Pichai: CEO of Google and Alphabet | Lex Fridman Podcast #471,2025-06-05 17:46:22,Thursday,17,1124026,15548,1231,1.49,2026-03-30 05:33:23,1304126
"James Holland: World War II, Hitler, Churchill, Stalin & Biggest Battles | Lex Fridman Podcast #470",2025-05-24 19:55:21,Saturday,19,1525786,19526,2614,1.45,2026-03-30 05:33:23,1773326
"Oliver Anthony: Country Music, Blue-Collar America, Fame, Money, and Pain | Lex Fridman Podcast #469",2025-05-19 19:47:49,Monday,19,192539,4896,560,2.83,2026-03-30 05:33:23,252699
"Janna Levin: Black Holes, Wormholes, Aliens, Paradoxes & Extra Dimensions | Lex Fridman Podcast #468",2025-05-05 19:14:53,Monday,19,947800,13319,1312,1.54,2026-03-30 05:33:23,1107230
"Tim Sweeney: Fortnite, Unreal Engine, and the Future of Gaming | Lex Fridman Podcast #467",2025-04-30 18:26:23,Wednesday,18,606475,11144,1378,2.06,2026-03-30 05:33:23,745475
"Jeffrey Wasserstrom: China, Xi Jinping, Trade War, Taiwan, Hong Kong, Mao | Lex Fridman Podcast #466",2025-04-24 19:31:02,Thursday,19,561190,7043,1622,1.54,2026-03-30 05:33:23,664060
"Robert Rodriguez: Sin City, Desperado, El Mariachi, Alita, and Filmmaking | Lex Fridman Podcast #465",2025-04-16 18:52:40,Wednesday,18,772030,6125,663,0.88,2026-03-30 05:33:23,846540
"Dave Smith: Israel, Hamas, Ukraine, Russia, Conspiracies & Antisemitism | Lex Fridman Podcast #464",2025-04-08 22:15:51,Tuesday,22,914319,14861,4608,2.13,2026-03-30 05:33:23,1155089
"Douglas Murray: Putin, Zelenskyy, Trump, Israel, Netanyahu, Hamas & Gaza | Lex Fridman Podcast #463",2025-03-30 20:12:24,Sunday,20,1124312,18768,5685,2.17,2026-03-30 05:33:23,1425692
"Ezra Klein and Derek Thompson: Politics, Trump, AOC, Elon & DOGE | Lex Fridman Podcast #462",2025-03-25 22:05:56,Tuesday,22,913897,8026,2240,1.12,2026-03-30 05:33:23,1038957
"ThePrimeagen: Programming, AI, ADHD, Productivity, Addiction, and God | Lex Fridman Podcast #461",2025-03-22 17:15:01,Saturday,17,1873193,37345,3361,2.17,2026-03-30 05:33:23,2313863
"Narendra Modi: Prime Minister of India - Power, Democracy, War & Peace | Lex Fridman Podcast #460",2025-03-16 11:02:17,Sunday,11,5389550,164347,29469,3.6,2026-03-30 05:33:23,7622400
"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast #459",2025-02-03 00:12:13,Monday,0,2104412,28503,3289,1.51,2026-03-30 05:33:23,2455222
"Marc Andreessen: Trump, Power, Tech, AI, Immigration & Future of America | Lex Fridman Podcast #458",2025-01-26 20:47:42,Sunday,20,1538740,17213,3500,1.35,2026-03-30 05:33:23,1780870
"Jennifer Burns: Milton Friedman, Ayn Rand, Economics, Capitalism, Freedom | Lex Fridman Podcast #457",2025-01-19 19:27:52,Sunday,19,1198542,8709,1594,0.86,2026-03-30 05:33:23,1317512
"Volodymyr Zelenskyy: Ukraine, War, Peace, Putin, Trump, NATO, and Freedom | Lex Fridman Podcast #456",2025-01-05 19:00:47,Sunday,19,7470843,161874,74498,3.16,2026-03-30 05:33:23,10579543
